Datafeed Field_ID,Factor Name,Description,Data Level,Coverage,Units,Typical Data Sources,Pillar Tags,Thematic Tags,MSCI Model Tags,Data Type,Record Type,Datatype in snowflake,Created Date,Last Updated Date,Asset Id,Dataset,Data Category,Package,Snowflake View
FUND_SDG16_STRONG_ALIGN_PCT,Fund SDG 16 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 16 (Peace, Justice and Strong Institutions) based on its anti-corruption policies and initiatives to support good conduct and their involvement in controversies (e.g. controversies related to bribery, fraud, human rights violations or money laundering).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,03ec27ce-e34a-45c3-b8ac-984fea05823a,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG13_ACHIEVE_SIGNAL,Fund SDG 13 Achievement Signal,The fund's level of alignment in the achievement of SDG 13 (Climate Action) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned or Strongly Aligned minus percentage that is Not Aligned).  Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,3c36f98c-b13a-40e1-b421-df989bad7d36,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_POLL_PREV_INVOLV_PCT,Fund Pollution Prevention Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from pollution prevention goods and services. Additionally,  pollution prevention revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,eaf0f089-6d83-426f-9ca2-ff9bf0b2830f,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_EDU_SERVICES_PCT,Fund Revenue Exposure to Education (%),"A fund’s exposure to Education is the portfolio weighted average of each company’s percent of revenue generated by Education goods and services. Additionally, Education revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,06666d55-4392-4946-a0e6-1cd38f3166ea,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG09_MISALIGN_PCT,Fund SDG 09 Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 09 (Industry, Innovation and Infrastructure) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to business ethics and investments).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,3fef0a82-a92a-4a0e-ae58-fe3d2eedf2f7,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_AFFORD_HOUSING_INVOLV_PCT,Fund Affordable Real Estate Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from affordable real estate goods and services. Additionally, affordable real estate revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,53a491d1-0bbb-4970-b05a-30b87d30eb2f,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG06_ACHIEVE_SIGNAL,Fund SDG 06 Achievement Signal,The fund's level of alignment in the achievement of SDG 06 (Clean Water and Sanitation) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,7f8273e9-e1e8-49bf-b402-d8ac15705a2f,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_ANY_MISALIGN_PCT,Fund SDG 08 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 08 (Decent Work and Economic Growth) based on the nature of their product and services and their operational alignment to the goal (e.g. strikes or lock outs in operations and their involvement in controversies (e.g. controversies related to labor relations and employment practices).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2a647a15-7bf8-4aa7-83fd-1673aa58090e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SANITARY_PROD_PCT,Fund Revenue Exposure to Sanitation (%),"A fund’s exposure to Sanitation is the portfolio weighted average of each company’s percent of revenue generated by Sanitation goods and services. Additionally, Sanitation revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,178228d7-b9d1-42f1-a095-903d130327af,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_ANY_ALIGN_PCT,Fund SDG 08 Any Alignment (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned or Strongly Aligned with SDG 08 (Decent Work and Economic Growth) based on the nature of their product and services (e.g. education services and products, SME financing, and connectivity) and their operational alignment to the goal (e.g. labor relations policies, benefits, professional development programs) and their involvement in controversies (e.g. controversies related to labor relations and employment practices).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,fe383e21-9fe8-425a-bb20-b2d0f5acebae,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_NUTRI_FOOD_PCT,Fund Revenue Exposure to Nutrition (%),"A fund’s exposure to Nutrition is the portfolio weighted average of each company’s percent of revenue generated by Nutrition goods and services. Additionally, Nutrition revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,945c268e-523b-4f1d-838e-8c25046af80d,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG17_ACHIEVE_SIGNAL,Fund SDG 17 Achievement Signal,The fund's level of alignment in the achievement of SDG 17 (Partnerships for the Goals) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,7d55e77f-df74-4eda-9a9a-b97fbfca61c9,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG05_STRONG_ALIGN_PCT,Fund SDG 05 Strongly Aligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 05 (Gender Equality) based on the nature of their product and services (e.g. contraceptives) and their operational alignment to the goal (e.g. diversity policies and participation of women in the workforce and on boards) and their involvement in controversies (e.g. controversies related to gender-based discrimination or abuse).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,21ee0973-5012-442a-8ebf-397b0700a075,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SUST_AG_MAX_REV_INVOLV_PCT,Fund Sustainable Agriculture Involvement (%),"The percentage of fund’s market values exposed to companies that generate revenue from agricultural goods produced using certified sustainable or organic practices. Additionally, sustainable agriculture revenue from companies with negative externalities are excluded. Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,e0a669d4-28d0-48f7-9523-624a41d92b4e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_NEUTRAL_PCT,Fund SDG 07 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 07 (Affordable and Clean Energy) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,4da13e04-9bca-4fe6-9837-fb0dd7c896e1,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG03_STRONG_MISALIGN_PCT,Fund SDG 03 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 03 (Good Health and Well-being) based on the nature of their product and services (e.g. tobacco-related products) and their operational alignment to the goal (e.g. controversies related to employee and consumer safety, and accessibility to healthcare products and services).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,15fb6680-c3b2-49a7-ad24-8d7fbe0ff583,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG04_STRONG_ALIGN_PCT,Fund SDG 04 Strongly Aligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 04 (Quality Education) based on the nature of their product and services (e.g. education-related activities and products) and their operational alignment to the goal (e.g. employee training and knowledge building) and their involvement in controversies (e.g. controversies related to limiting access to education and use of child or forced labor).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2a89f24a-9e44-49ab-a33b-bbcf623c55e1,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG_COVERAGE,Fund SDG Coverage (%),The percentage of a fund's market value for issuers with an SDG alignment assessment.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,155c33bb-689d-493e-b19f-055cfa264ca2,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SOCIAL_FIN_PCT,Fund Revenue Exposure to SME Finance (%),"A fund’s exposure to SME Finance is the portfolio weighted average of each company’s percent of revenue generated by SME Finance goods and services. Additionally, SME Finance revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,bd36413d-d3eb-403c-89c6-c77213f6e890,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_STRONG_ALIGN_PCT,Fund SDG 07 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 07 (Affordable and Clean Energy) based on the nature of their product and services (e.g. alternative energy) and their operational alignment to the goal (e.g. decarbonization targets, performance track record) and their involvement in controversies (e.g. controversies related to energy and climate change, restricted access, predatory practices, and product and service quality/safety by utilities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2beba7b3-c35b-4472-a3e7-0a27c40c1f61,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG03_ANY_ALIGN_PCT,Fund SDG 03 Any Alignment (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned or Strongly Aligned with SDG 03 (Good Health and Well-being) based on the nature of their product and services (e.g. major disease treatment and pollution control) and their operational alignment to the goal (e.g. controversies related to employee and consumer safety, and accessibility to healthcare products and services).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,971cb686-d8b3-40b3-9888-2bf8f45226ab,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_HEALTHCARE_PCT,Fund Revenue Exposure to Major Disease Treatment (%),"A fund’s exposure to Major Disease Treatment is the portfolio weighted average of each company’s percent of revenue generated by Major Disease Treatment goods and services. Additionally, Major Disease Treatment revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,2c252734-8095-4f3d-afc2-3c8ba8e5ceaa,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG14_ACHIEVE_SIGNAL,Fund SDG 14 Achievement Signal,The fund's level of alignment in the achievement of SDG 14 (Life Below Water) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,20789a9c-f5c2-4754-bb09-6a180dc6f1d0,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG05_ANY_ALIGN_PCT,Fund SDG 05 Any Alignment (%),The percentage of the portfolio’s market value exposed to companies that are Aligned or Strongly Aligned with SDG 05 (Gender Equality) based on the nature of their product and services (e.g. contraceptives) and their operational alignment to the goal (e.g. diversity policies and participation of women in the workforce and on boards) and their involvement in controversies (e.g. controversies related to gender-based discrimination or abuse).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,bada74a9-0c89-4799-9770-af40fdfa6427,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG09_STRONG_ALIGN_PCT,Fund SDG 09 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 09 (Industry, Innovation and Infrastructure) based on the nature of their product and services (e.g. SME financing and connectivity) and their operational alignment to the goal (e.g. resource efficiency initiatives) and their involvement in controversies (e.g. controversies related to business ethics and investments).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,a2ecdb2c-5f1e-4678-8ab6-dea0be45b5de,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG15_ALIGN_PCT,Fund SDG 15 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 15 (Life on Land) based on the nature of their product and services (e.g. environmental remediation) and their operational alignment to the goal (e.g. controversies related to pollution, and adverse impact on land and communities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,fbf4620f-baa0-4e21-a6f1-817dafe57e42,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_NEUTRAL_PCT,Fund SDG 08 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 08 (Decent Work and Economic Growth) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,802eea8a-b89a-43f4-a76f-e1a477c8d554,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_ENERGY_EFF_PCT,Fund Revenue Exposure to Energy Efficiency (%),"A fund’s exposure to Energy Efficiency is the portfolio weighted average of each company’s percent of revenue generated by Energy Efficiency goods and services. Additionally, Energy Efficiency revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,77dc104a-d40a-4d96-854b-1811bbe2ed72,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG11_ACHIEVE_SIGNAL,Fund SDG 11 Achievement Signal,The fund's level of alignment in the achievement of SDG 11 (Sustainable Cities and Communities) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,9a1e21f4-9af1-4b5b-80a6-e88de2ab0c7e,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG04_NEUTRAL_PCT,Fund SDG 04 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 04 (Quality Education) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,f049d9d4-58ad-4244-a325-a4dc68d8fa11,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG17_STRONG_MISALIGN_PCT,Fund SDG 17 Strongly Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 17 (Partnerships for the Goals) based on their operational alignment to the goal (e.g. tax gap greater than 20%) and their involvement in controversies (e.g. controversies related to human rights abuses or business ethics misconduct).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,91561ff7-5a64-42ae-9f8f-e9202782e496,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG04_ALIGN_PCT,Fund SDG 04 Aligned (%),The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 04 (Quality Education) based on the nature of their product and services (e.g. education-related products) and their operational alignment to the goal (e.g. employee training and knowledge building) and their involvement in controversies (e.g. controversies related to limiting access to education and use of child or forced labor).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,42487163-7f28-453e-b3ae-d0d8f8f383be,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_CLEAN_TECH_PCT,Fund Revenue Exposure to Environmental Impact (%),"A fund’s exposure to Environmental Impact is the portfolio weighted average of each company’s percent of revenue generated by Environmental Impact goods and services. Additionally, Environmental Impact revenue from companies with negative externalities is excluded.  Negative externalities refer to ESG controversies with a score of 2 or below, ESG Ratings of CCC and B, direct involvement in predatory lending, involvement in controversial weapons, more than 5% revenue from conventional weapons or firearms, and more than 10% revenue from alcohol or tobacco production.",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,a13bc0e3-1098-4fd2-ad2b-ca10bf535676,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG05_ANY_MISALIGN_PCT,Fund SDG 05 Any Misalignment (%),The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 05 (Gender Equality) based on the nature of their product and services and their operational alignment to the goal (e.g. controversies related to gender-based discrimination or abuse).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,b643ddf0-4753-4acb-a4b9-93cbd93162ae,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG07_STRONG_MISALIGN_PCT,Fund SDG 07 Strongly Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 07 (Affordable and Clean Energy) based on the nature of their product and services (e.g. fossil fuel based energy generation and related products) and their operational alignment to the goal (e.g. locked-in fossil fuel servers) and their involvement in controversies (e.g. controversies related to energy and climate change, restricted access, predatory practices, and product and service quality/safety by utilities).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,e3cf939b-8d6b-485c-9c73-dc2647378123,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_ALIGN_PCT,Fund SDG 08 Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Aligned with SDG 08 (Decent Work and Economic Growth) based on the nature of their product and services (e.g. education services and products, SME financing, and connectivity) and their operational alignment to the goal (e.g. labor relations policies, benefits, professional development programs) and their involvement in controversies (e.g. controversies related to labor relations and employment practices).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,74905dd5-fe0a-4ff3-9bab-88f8df0bf058,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_STRONG_ALIGN_PCT,Fund SDG 08 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 08 (Decent Work and Economic Growth) based on the nature of their product and services(e.g. education services and products, SME financing, and connectivity) and their operational alignment to the goal (e.g. labor relations policies, benefits, professional development programs) and their involvement in controversies (e.g. controversies related to labor relations and employment practices).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,10bafbcf-2ff1-432c-986a-b565ed1c29f2,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG11_STRONG_ALIGN_PCT,Fund SDG 11 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 11 (Sustainable Cities and Communities) based on the nature of their product and services (e.g. green buildings, affordable housing, clean transport) and their operational alignment to the goal (e.g. resource efficiency) and their involvement in controversies (e.g. controversies related to suppressed civil rights and access to basic needs such as housing).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,4efd95bf-04ef-42c4-9f26-68d1cd17be13,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG17_STRONG_ALIGN_PCT,Fund SDG 17 Strongly Aligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 17 (Partnerships for the Goals) based on its support for and implementation of human rights polices and their involvement in controversies (e.g. controversies related to human rights abuses or business ethics misconduct).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,4b8529bf-3ca5-46b8-86a3-0446eb7ec86b,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG02_ACHIEVE_SIGNAL,Fund SDG 02 Achievement Signal,The fund's level of alignment in the achievement of SDG 02 (Zero Hunger) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned  minus percentage that is Not Aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,ce037fa4-0503-4b9a-a12f-60480636cb5a,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_STRONG_ALIGN_PCT,Fund SDG 10 Strongly Aligned (%),"The percentage of the portfolio’s market value exposed to companies that are Strongly Aligned with SDG 10 (Reduced Inequalities) based on the nature of their product and services (e.g. education services, SME financing and connectivity) and their operational alignment to the goal (e.g. labor relations policies, support for union representation and workforce diversity) and their involvement in controversies (e.g. controversies related to restricted access to products and services, discrimination, or violation of labor or human rights).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,6ae56fcf-bc31-480c-94de-53bf3597fcc3,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG08_ACHIEVE_SIGNAL,Fund SDG 08 Achievement Signal,The fund's level of alignment in the achievement of SDG 08 (Decent Work and Economic Growth) based on the fund’s net alignment (i.e. percentage of portfolio market value that is Aligned minus percentage that is Not aligned). Aligned Fund: Net alignment greater than 0%. Any fund that does not meet the criteria above or that holds any exposure to Strongly Misaligned companies is categorized as Not Aligned.,,,Text,MSCI ESG Research Assessment,,,,String,Fund holdings - most recent value,VARCHAR(4000),2023-07-04,2023-12-20,ab5de447-5858-4817-aeed-a1444822ee32,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG10_ANY_MISALIGN_PCT,Fund SDG 10 Any Misalignment (%),"The percentage of the portfolio’s market value exposed to companies that are Misaligned or Strongly Misaligned with SDG 10 (Reduced Inequalities) based on the nature of their product and services (e.g. predatory lending) and their operational alignment to the goal (e.g. negative long-term pay performance vs. peers) and their involvement in controversies (e.g. controversies related to restricted access to products and services, discrimination, or violation of labor or human rights).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,0b43c42d-afc1-4723-a648-417472a8a3f6,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG03_NEUTRAL_PCT,Fund SDG 03 Neutral (%),The percentage of the portfolio’s market value exposed to companies that are Neutral on SDG 03 (Good health and Well-Being) based on the nature of their product and services and their operational alignment to the goal.,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,cdeafae9-8eba-4a5c-b807-835a7c740297,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG01_MISALIGN_PCT,Fund SDG 01 Misaligned (%),"The percentage of the portfolio’s market value exposed to companies that are Misaligned with SDG 01 (No Poverty) based on the nature of their product and services  (e.g. predatory lending) and their operational alignment to the goal (e.g. controversies related to employment practices, human rights, or impact on communities or customers).",,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,7a951513-c387-41a6-b636-bf8e705aa07f,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
FUND_SDG06_STRONG_MISALIGN_PCT,Fund SDG 06 Strongly Misaligned (%),The percentage of the portfolio’s market value exposed to companies that are Strongly Misaligned with SDG 06 (Clean Water and Sanitation) based on the nature of their product and services and their operational alignment to the goal (e.g. involvement in water polluting operations or water-related controversies).,,,%,MSCI ESG Research Assessment,,,,Double,Fund holdings - most recent value,"NUMBER(38,19)",2023-07-04,2023-12-20,b39aea29-9467-4dea-bd27-a1f68c15a4bd,Fund Impact,,Fund Rating,FUND_RATINGS_IMPACT
